DAY,AMOUNT_OF_EGGS_IN_HOUSES,AMOUNT_OF_EGGS_HATCHED,AMOUNT_OF_DEAD_EGGS
1,599,0,0
2,599,0,0
3,632,0,0
4,16358,0,21
5,32682,0,30
6,46695,0,47
7,62271,0,63
8,79199,0,71
9,84986,0,96
10,93419,0,84
11,102554,0,110
12,112186,0,107
13,120484,170,130
14,119777,3953,113
15,107265,9650,123
16,96543,8650,123
17,127531,4290,164
18,244252,2228,292
19,421584,5276,465
20,628236,4765,685
21,853146,3781,859
22,1115444,1891,1110
23,1378587,896,1405
24,1621438,7386,1671
25,1871395,7031,1993
26,2105759,15213,2161
27,2321062,37979,2358
28,2614225,18956,2848
29,2932769,56354,3245
30,3490208,82465,3771
