DAY,SUSCEPTIBLE,EXPOSED,MILD_INFECTION,SEVERE_INFECTION,TOXIC_INFECTION,RECOVERED,AMOUNT_OF_DEAD
1,490,10,0,0,0,0,0
2,490,10,0,0,0,0,0
3,490,10,0,0,0,0,0
4,490,8,2,0,0,0,0
5,490,8,2,0,0,0,0
6,490,4,6,0,0,0,0
7,490,0,10,0,0,0,0
8,490,0,8,0,0,2,0
9,490,0,8,0,0,2,0
10,490,0,2,0,0,8,0
11,490,0,0,0,0,10,0
12,490,0,0,0,0,10,0
13,490,0,0,0,0,10,0
14,490,0,0,0,0,10,0
15,490,0,0,0,0,10,0
16,490,0,0,0,0,10,0
17,490,0,0,0,0,10,0
18,490,0,0,0,0,10,0
19,490,0,0,0,0,10,0
20,490,0,0,0,0,10,0
21,490,0,0,0,0,10,0
22,490,0,0,0,0,10,0
23,490,0,0,0,0,10,0
24,490,0,0,0,0,10,0
25,490,0,0,0,0,10,0
26,490,0,0,0,0,10,0
27,490,0,0,0,0,10,0
28,490,0,0,0,0,10,0
29,490,0,0,0,0,10,0
30,490,0,0,0,0,10,0
