DAY,SUSCEPTIBLE,EXPOSED,INFECTED,AMOUNT_OF_DEAD
1,1902,0,0,98
2,1783,0,0,119
3,1690,0,0,93
4,1554,0,0,136
5,1433,0,0,121
6,1326,0,0,107
7,1213,0,0,113
8,1121,0,0,92
9,1020,0,0,101
10,920,0,0,100
11,862,0,0,58
12,794,0,0,68
13,871,0,0,93
14,4548,0,0,276
15,13440,0,0,758
16,20975,0,0,1115
17,23874,0,0,1391
18,24418,0,0,1684
19,27652,0,0,2042
20,30133,0,0,2284
21,31502,0,0,2412
22,30980,0,0,2413
23,29523,0,0,2353
24,34195,0,0,2714
25,38308,0,0,2918
26,49981,0,0,3540
27,82613,0,0,5347
28,95347,0,0,6222
29,142565,0,0,9136
30,211423,0,0,13607
