DAY,AMOUNT,CARRYING_EGGS,AMOUNT_OF_DEAD
1,1902,14225,98
2,1783,18366,119
3,1690,37502,93
4,1554,37206,136
5,1433,15386,121
6,1326,12000,107
7,1213,12887,113
8,1121,9602,92
9,1020,2691,101
10,920,186,100
11,862,187,58
12,794,167,68
13,871,1162,93
14,4548,128,276
15,13440,137,758
16,20975,787,1115
17,23874,2385,1391
18,24418,3682,1684
19,27652,4317,2042
20,30133,4582,2284
21,31502,5256,2412
22,30980,5287,2413
23,29523,5140,2353
24,34195,5371,2714
25,38308,5295,2918
26,49981,5816,3540
27,82613,6609,5347
28,95347,8577,6222
29,142565,14456,9136
30,211423,16831,13607
